parent-sku,creation-date,name,sku,breeder,price,msrp,pack-size,description,aka,genetics,variety,flowering-time,flowering-type,sex,thc-content,cbd-content,yield,grows,plant-height,medical-conditions,medical-properties,effect,url,image-1,image-2,categories
MRNEQ,"2009-05-21 17:19:38","Early Queen Regular Seeds",MRNEQ,"Mr Nice Seedbank",27.0000,45.0000,"18 Seeds","This three way hybrid has earned acclaim for its quick finish both indoors and outdoors.  It is therefore, perfect for cold climate countries in the northern hemisphere.   The flowering cycle is expected to be between 6-8 weeks with indoor cultivation. Harvest time in the northern hemisphere as early as September and in the southern hemisphere by March. The genetic composition of this breed stems from early Californian blends mixed with a touch of Mexican.",,"Early Pearl x Early Girl x Super Skunk","Indica / Sativa","6-7 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/early-queen-seeds,http://tiger-one.eu/media/catalog/product/E/a/Early-Queen.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNG13SK,"2009-05-21 17:24:12","G13 Skunk Regular Seeds",MRNG13SK,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","This is probably one of the biggest mainstream cannabis media stars, due to the rather colorful mythology that surrounds the stories of its origin. Before the female clone of G13 lost its vigor for life, we at MNS combined it with several other stable hybrids to preserve the genetic pool and enable growers to explore and discover.   The origins of this plant seem to be in line with an Afghani ancestry; combining that with the MNS Skunk line make the F1 seeds excellent value, particularly regarding the more medicinally valued plants (used for many medical ailments including pain management, MS, arthritis and depression). The yields that a grower of this strain should expect for indoor cultivation should be between at least 500-650 grams per square meter. It depends upon the style of growing and the selection of the plant.  Since it is predominantly indica, this plant does not stretch much and can be grown quite easily by beginning to advanced growers with good results. The flower cluster can be very dense, and as the plant draws closer to maturity, it should be monitored for mould if the humidity is moderate to high during the last weeks of the plants life. We found that the majority of the plants are finished after 7 weeks flowering with a very small percentage taking a week to 10 days more.  This plant would be fine to be used in a sea of green type cultivation and is equally impressive for both the indoor and outdoor growers.   The two distinctive features that the G13 plant brings with it are a serrated edged leaf trait and an unusually healthy (almost glossy) green in the growing plant.",,"G13 x Skunk","Mostly Indica","7-9 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Arthritis,Depression,Multiple Sclerosis,Pain",,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/g13-skunk-seeds,http://tiger-one.eu/media/catalog/product/g/1/g13sk.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNLAN,"2009-05-21 17:28:24","La Nina Regular Seeds",MRNLAN,"Mr Nice Seedbank",48.0000,80.0000,"18 Seeds","A family member that had previously been kept private for The Family.   Strongly related to El Nino (Bio Cup 98 HTCC), La Nina manifests characteristics that are predictable, contrary to her name&rsquo;s implication. She has a genetic composition of Haze x White Widow, making her an inevitable candidate for a hot love story with her consumer. Expect her to bare her voluptuous resinous fruits within 8-10 weeks on a flowering stage.","El Niño","Haze x White Widow","Indica / Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/la-nina-seeds,http://tiger-one.eu/media/catalog/product/L/a/La-Nina.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNMGHZ,"2009-05-21 17:34:00","Mango Haze Regular Seeds",MRNMGHZ,"Mr Nice Seedbank",69.0000,115.0000,"18 Seeds","This strain is a parallel line to the Super Silver Haze, i.e. it has the same Haze father and the mother is a sister of the SSH. Accordingly, the genetic makeup of this strain is 25% NL5, 25% Skunk and 50% Haze.  The expected flowering times depend very much on the selection of the mother but in general will vary from 8 to 11 weeks, so it is a practical 50% sativa for indoor growing. It is suggested that if the room does not have much height, go directly into 12/12 with a rooted clone or seed. This will still give a 1-1.5 meter plant. Yields of this strain are expected to produce between 450-550 grams per square meter (based on using minimum of 600 watts lamps).   Lower branches may be pruned during the grow or pre flower phase, so the Mango strain puts its energy into the cola flower clusters. This is a good way to manage this plant if growing more plants per square meter than normal is preferred. The resistance to mould is a positive feature of this plant, both for indoor and outdoor growers.   Mango is a very special plant for  resin production, and the aroma is of fully ripe mangos. It is special plant affecting people's cerebral areas. The plant's ancestors were HTCC winners of numerous awards, so its pedigree is outstanding. It has been in the making for some years now, but we at MNS feel it is as ready as it ever will be.",,"NL5/Skunk x Haze","Mostly Sativa","8-11 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors",,,,"Cerebral,Euphoric,Long-lasting,Powerful",https://tiger-one.eu/en/categories/regular-cannabis-seeds/mango-haze-seeds,http://tiger-one.eu/media/catalog/product/m/a/mangohaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_89.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNMKSKXAH,"2009-05-22 09:15:46","Master Kaze Regular Seeds (Master Kush Skunk x Afghan Haze)",MRNMKSKXAH,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","This is a limited edition strain that has dominant Afghan side. The Master Kush is a proven winner along with the Skunk and Haze sides makes a lovely complex hybrid.  This strain produces various phenotypes all which should yield better than average, are easy to grow and should have a twist of sativa from the Haze genetics.  It is pleasure for those who like complex blends and a range of flavours that may not be on offer from so many other hybrids. For the medical grower there is everything you need in these genetics&hellip;it will be down to the individual to select the best mother that will suit all one's needs&hellip;the range will be from a strong expression of narcotic Afghans to the euphoric effect of the Haze.  It is a good yielding strain for indoors and out although beware of mould if there is early rain.",,"Master Kush Skunk x Afghan Haze","Mostly Indica","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,"Lack of Appetite,Multiple Sclerosis,Muscle Spasm,PMS",,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/master-kush-skunk-x-afghan-haze,http://tiger-one.eu/media/catalog/product/m/a/masterkushskunkxafghanhaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_92.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNSS,"2009-05-22 09:21:05","Shark Shock Regular Seeds",MRNSS,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","This is definitely the most successful breed of the late 90&rsquo;s (since its inauguration by Shantibaba as Great White Shark).  It has equally famous genetic heritage and has been awarded a multitude of cannabis cups under the names of the Peacemaker and the Great White Shark. It&rsquo;s parents are well known as White Widow (a Brazilian sativa combined with a south Indian hybrid) and Skunk#1.  This plant will grow into a densely compacted white skunk with extreme aromas.   Indoors, expect a 50-56 day flowering cycle. Outdoors in the northern hemisphere, harvest in September to early October; and in the southern hemisphere, March to early April.","Great White Shark/Peacemaker","White Widow x Skunk No. 1","Indica / Sativa","7-8 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/shark-shock-seeds,http://tiger-one.eu/media/catalog/product/s/h/sharkshock.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNSP,"2009-05-22 09:25:01","Spice Regular Seeds",MRNSP,"Mr Nice Seedbank",34.2000,57.0000,"18 Seeds","A fast growing strain its parentage has blossomed out of the crossing of a Hawaiian indica x Hawaiian sativa and is a stable hybrid.   It can be harvested between 7-9 weeks indoors. Outdoors in the northern hemisphere harvest by October, and in the southern hemisphere by May.",,"Hawaiian Indica x Hawaiian Sativa","Indica / Sativa","7-9 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/spice-seeds,http://tiger-one.eu/media/catalog/product/S/p/Spice.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNSSHZ,"2009-05-22 09:29:25","Super Silver Haze Regular Seeds",MRNSSHZ,"Mr Nice Seedbank",69.0000,115.0000,"18 Seeds","A champion of champions since winning its hat-trick at the 1997, 1998, and 1999 High Times Cannabis Cups and comprising the most commercial strains known to the uncivilized world: Skunk, NL and Haze. Such achievements confer an undoubtedly regal pedigree.   It&rsquo;s an excellent breed for those who wish to possess the stash of stashes and leaves one gasping for reality. It can be harvested in 8-10 weeks with top yields and heavy resin production. In the northern hemisphere completion date would be around late October; in the southern hemisphere, late May/June.",,"Skunk / Northern Lights / Haze","Indica / Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors",,"Depression,Pain,Stress",,"Body,Cerebral,Powerful,Relaxing,Strong",https://tiger-one.eu/en/categories/regular-cannabis-seeds/super-silver-haze-seeds,http://tiger-one.eu/media/catalog/product/s/u/supersilverhaze.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_91.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNCM,"2009-05-22 09:37:39","Critical Mass Regular Seeds",MRNCM,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","A reworked excellent version of an old breed once known as Big Bud. This is a large yielding strain with an equally high stone. It is the heaviest plant currently in production both indoors and outdoors with buds resembling the male genital protrusion of a giant donkey. Due to its heavy flower construction it can be susceptible to mould if the growing area is too humid. So be warned, and harvest on time. It has a genetic pedigree originating from a particularly heavy Afghani combined with the original Skunk #1.","Afghani Skunk, Big Bud","Afghani / Skunk No. 1","Indica / Sativa","8 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,"Body,Physical,Powerful,Relaxing",https://tiger-one.eu/en/categories/regular-cannabis-seeds/critical-mass-seeds,http://tiger-one.eu/media/catalog/product/c/r/criticalmass.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_85.jpg,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNSH,"2009-05-22 09:43:57","Shit Regular Seeds",MRNSH,"Mr Nice Seedbank",21.0000,35.0000,"18 Seeds","An absolute classic and original Skunk/Afghani that has won many awards.  A proven breed since the 1980&rsquo;s, that changed the cannabis industry forever.","Skunk #1","Skunk / Afghani","Mostly Sativa","9 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/shit-seeds,http://tiger-one.eu/media/catalog/product/S/h/Shit.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNWA,"2009-05-22 09:48:58","Walkabout Regular Seeds",MRNWA,"Mr Nice Seedbank",13.8000,23.0000,"18 Seeds","A selection of mixed outdoor strains with all genetics of supreme sources including Thai, Haze, Indian, Early Skunks, Mexicans and New Guinea.",,,"Indica / Sativa","7-9 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/walkabout-seeds,http://tiger-one.eu/media/catalog/product/W/a/Walkabout.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNAFHZ,"2009-05-22 09:56:06","Afghan Haze Regular Seeds",MRNAFHZ,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","The combination of a pure Afghan strain combined with a Haze male has created something fantastic.  Both parent plants are very established in their own right and have been popular with medical patients worldwide for many years, and this strain follows, like many, in its parents footsteps.",,"Afghan x Haze","Indica / Sativa","10 weeks",Photoperiod,Regular,Unknown,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,Pain,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/afghan-haze-seeds,http://tiger-one.eu/media/catalog/product/f/i/file_96_20.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNG13W,"2009-05-22 10:07:27","G13 Widow Regular Seeds",MRNG13W,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","Over the past decade there have been several new hybrids developed that took cannabinoid levels in cannabis plants to some significant heights and this is one of them. Since cannabinoid research is becoming a popular topic with numerous scientists this combination a most interesting and intriguing strain.   The genetic makeup of this particular blend combines Afghan, South Indian and Brazilian in one strain. The phenotypes range from a hint of a sativa with an indica type flower to dense indica predominance. In a normal indoor grow this plant can be grown for a week to 10 days before being flowered. Expected flowering times range between 7-10 weeks (depending on the phenotype flowered).&nbsp;This plant has the capacity to stretch a little, but should be safe in a normal height room. The distinctive features of this plant are the aroma, taste, and the effects once the product is ready. These all vary considerably depending upon the particular phenotype.",,"G13 x White Widow","Indica / Sativa","7-10 Weeks",Photoperiod,Regular,"Unknown - High",Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/g13-widow,http://tiger-one.eu/media/catalog/product/g/1/g13whitewidow.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNMGW,"2009-05-22 10:15:08","Mango Widow Regular Seeds",MRNMGW,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","The combination of the genetic make up is very impressive and combines two superb hybrids into a single plant line. Its origins are taken from all corners of the globe and manifest themselves in excellent flavors and tastes.  It is ready for harvesting between 8 to 10 weeks depending on climate and phenotype.  Yield is not the highest but this is made up with superb tastes and aromas.",,"Mango x White Widow","Mostly Sativa","8-10 Weeks",Photoperiod,Regular,Unknown,Unknown,"Medium,High","Greenhouse,Grows indoors,Grows outdoors",,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/mango-widow-seeds,http://tiger-one.eu/media/catalog/product/m/a/mangowhitewidow.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
MRNNHXMG,"2009-05-22 10:25:42","Neville's Haze x Mango Regular Seeds",MRNNHXMG,"Mr Nice Seedbank",40.8000,68.0000,"18 Seeds","The genetics making up this complex hybrid combine the two Haze males utilized by MNS. This seed is basically comprised of 12.5% skunk, 25% NL5, and 12.5%Haze A male, 50% Haze C male. The expected flowering time will vary considerably depending upon the phenotype. Generally, it should be between 10-14 weeks with the possibility of slightly earlier if getting something towards the NL5 or Skunk side. Anything that goes beyond the 14 week marker in flowering is really not interesting as it becomes a difficult chore for a relatively low return. This plant will need to grow extensively, so it is essential to 12/12 (possibly even 10/14) light to night ratio, to force the onset of flowering. Very dark nights will will help force the plant to flower without compromise.  This strain is likely to stretch largely and so needs a high space in which to grow  The aromas and taste of the finished product are nothing less than superb. The effects will be cerebral and possibly a bit trippy. This seed can be grown both indoors and outdoors.",,"Neville's Haze x Mango","Mostly Sativa","10-14 Weeks",Photoperiod,Regular,Unknown,Unknown,High,"Greenhouse,Grows indoors,Grows outdoors",,,,"Cerebral,Powerful,Psychedelic",https://tiger-one.eu/en/categories/regular-cannabis-seeds/neville-s-haze-x-mango,http://tiger-one.eu/media/catalog/product/n/e/nevilleshazexmango.jpg,,"Mr Nice Seedbank, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
